<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XOM.US,D,19700216,000000,1.0692,1.0692,1.0551,1.0619,5002206,0
XOM.US,D,19700217,000000,1.0619,1.0619,1.048,1.0551,4402670,0
XOM.US,D,19700218,000000,1.0692,1.1184,1.0692,1.1114,6347721,0
XOM.US,D,19700219,000000,1.1253,1.1464,1.1253,1.1253,4828290,0
XOM.US,D,19700220,000000,1.1253,1.1604,1.1184,1.1604,6407225,0
XOM.US,D,19700224,000000,1.1604,1.1959,1.1535,1.1535,5363757,0
XOM.US,D,19700225,000000,1.1535,1.1747,1.1184,1.1747,6823685,0
XOM.US,D,19700226,000000,1.1604,1.1604,1.1327,1.1397,5299682,0
XOM.US,D,19700227,000000,1.1397,1.1535,1.1397,1.1397,5917524,0
XOM.US,D,19700302,000000,1.1397,1.1535,1.1253,1.1253,7304229,0
XOM.US,D,19700303,000000,1.1253,1.1327,1.1114,1.1184,7368300,0
XOM.US,D,19700304,000000,1.1184,1.1327,1.1184,1.1253,6919792,0
XOM.US,D,19700305,000000,1.1253,1.1464,1.1253,1.1397,7025057,0
XOM.US,D,19700306,000000,1.1327,1.1327,1.1184,1.1253,6837414,0
XOM.US,D,19700309,000000,1.1253,1.1253,1.1114,1.1114,11011262,0
XOM.US,D,19700310,000000,1.1114,1.1397,1.1042,1.1327,8407182,0
XOM.US,D,19700311,000000,1.1464,1.1604,1.1464,1.1535,5203578,0
XOM.US,D,19700312,000000,1.1535,1.1535,1.1397,1.1464,4064007,0
XOM.US,D,19700313,000000,1.1464,1.1464,1.1397,1.1464,3693305,0
XOM.US,D,19700316,000000,1.1464,1.1464,1.1327,1.1464,2901551,0
XOM.US,D,19700317,000000,1.1464,1.1464,1.1397,1.1464,2173875,0
XOM.US,D,19700318,000000,1.1464,1.1747,1.1464,1.1604,2800869,0
XOM.US,D,19700319,000000,1.1604,1.1676,1.1535,1.1604,2723072,0
XOM.US,D,19700320,000000,1.1604,1.1604,1.1535,1.1604,1798596,0
XOM.US,D,19700323,000000,1.1604,1.1676,1.1535,1.1604,1331786,0
XOM.US,D,19700324,000000,1.1604,1.1817,1.1604,1.1817,1359243,0
XOM.US,D,19700325,000000,1.1817,1.2097,1.1817,1.2028,3890095,0
XOM.US,D,19700326,000000,1.2028,1.2097,1.2028,1.2097,2764258,0
XOM.US,D,19700330,000000,1.2097,1.2168,1.2028,1.2168,2178452,0
XOM.US,D,19700331,000000,1.2097,1.2097,1.2028,1.2028,2471356,0
XOM.US,D,19700401,000000,1.2097,1.2097,1.2097,1.2097,1670452,0
XOM.US,D,19700402,000000,1.2097,1.2168,1.2028,1.2097,2379825,0
XOM.US,D,19700403,000000,1.2097,1.2168,1.2028,1.2168,1743677,0
XOM.US,D,19700406,000000,1.2097,1.2097,1.2028,1.2097,1574340,0
XOM.US,D,19700407,000000,1.2097,1.2097,1.1817,1.1817,3171571,0
XOM.US,D,19700408,000000,1.1817,1.1887,1.1676,1.1817,1290599,0
XOM.US,D,19700409,000000,1.1817,1.1959,1.1817,1.1887,1281444,0
XOM.US,D,19700410,000000,1.1887,1.1887,1.1817,1.1817,1350095,0
XOM.US,D,19700413,000000,1.1817,1.1817,1.1747,1.1747,1546889,0
XOM.US,D,19700414,000000,1.1747,1.1817,1.1604,1.1747,1679604,0
XOM.US,D,19700415,000000,1.1747,1.1817,1.1747,1.1817,1070926,0
XOM.US,D,19700416,000000,1.1817,1.1817,1.1604,1.1604,2256261,0
XOM.US,D,19700417,000000,1.1604,1.1604,1.1397,1.1397,3661267,0
XOM.US,D,19700420,000000,1.1397,1.1397,1.1253,1.1327,1620115,0
XOM.US,D,19700421,000000,1.1397,1.1464,1.1397,1.1397,1592653,0
XOM.US,D,19700422,000000,1.1397,1.1535,1.1397,1.1464,1734526,0
XOM.US,D,19700423,000000,1.1464,1.1464,1.1397,1.1464,1473660,0
XOM.US,D,19700424,000000,1.1464,1.1464,1.1327,1.1464,1798596,0
XOM.US,D,19700427,000000,1.1464,1.1604,1.1327,1.1327,2622385,0
XOM.US,D,19700428,000000,1.1327,1.1397,1.1184,1.1253,2105225,0
XOM.US,D,19700429,000000,1.1253,1.1464,1.1253,1.1397,2842058,0
XOM.US,D,19700430,000000,1.1397,1.1397,1.1253,1.1253,2741373,0
XOM.US,D,19700501,000000,1.1253,1.1397,1.1253,1.1397,1290599,0
XOM.US,D,19700504,000000,1.1397,1.1397,1.1184,1.1327,1125840,0
XOM.US,D,19700505,000000,1.1327,1.1327,1.1184,1.1327,2082345,0
XOM.US,D,19700506,000000,1.1327,1.1464,1.1253,1.1464,3409556,0
XOM.US,D,19700507,000000,1.1397,1.1397,1.1253,1.1253,1670452,0
XOM.US,D,19700508,000000,1.1253,1.1253,1.1184,1.1184,2123533,0
XOM.US,D,19700511,000000,1.1184,1.1184,1.1042,1.1114,1542309,0
XOM.US,D,19700512,000000,1.1042,1.1042,1.0973,1.1042,3363789,0
XOM.US,D,19700513,000000,1.0973,1.0973,1.0832,1.0832,2247101,0
