<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GE.US,D,19620531,000000,0.5245,0.5322,0.5245,0.5245,5414662,0
GE.US,D,19620601,000000,0.5245,0.5322,0.5164,0.5245,3410615,0
GE.US,D,19620604,000000,0.5245,0.5245,0.5013,0.5013,2514397,0
GE.US,D,19620605,000000,0.5013,0.5164,0.5013,0.509,3958311,0
GE.US,D,19620606,000000,0.509,0.5245,0.509,0.509,2738451,0
GE.US,D,19620607,000000,0.5164,0.5245,0.5164,0.5164,1319434,0
GE.US,D,19620608,000000,0.5164,0.5245,0.5164,0.5164,1667967,0
GE.US,D,19620611,000000,0.5164,0.5245,0.5164,0.5164,1468805,0
GE.US,D,19620612,000000,0.509,0.509,0.48604,0.49372,3410615,0
GE.US,D,19620613,000000,0.49372,0.5013,0.48604,0.48604,3460404,0
GE.US,D,19620614,000000,0.48604,0.5013,0.48604,0.48604,721956,0
GE.US,D,19620615,000000,0.48604,0.5013,0.47793,0.5013,4369074,0
GE.US,D,19620618,000000,0.5013,0.5013,0.48604,0.49372,2800689,0
GE.US,D,19620619,000000,0.49372,0.49372,0.48604,0.49372,1593280,0
GE.US,D,19620620,000000,0.48604,0.48604,0.47793,0.47793,3062083,0
GE.US,D,19620621,000000,0.47793,0.47793,0.46287,0.46287,3796489,0
GE.US,D,19620622,000000,0.46287,0.46287,0.4397,0.4397,4145019,0
GE.US,D,19620625,000000,0.4397,0.44725,0.43217,0.44725,5763193,0
GE.US,D,19620626,000000,0.44725,0.45512,0.4397,0.4397,4219707,0
GE.US,D,19620627,000000,0.4397,0.44725,0.4397,0.44725,2215658,0
GE.US,D,19620628,000000,0.45512,0.47044,0.45512,0.47044,3273696,0
GE.US,D,19620629,000000,0.47044,0.47793,0.47044,0.47793,2738451,0
GE.US,D,19620702,000000,0.47793,0.509,0.47044,0.5013,2464606,0
GE.US,D,19620703,000000,0.5013,0.509,0.49372,0.5013,3970755,0
GE.US,D,19620705,000000,0.5013,0.509,0.5013,0.509,2190764,0
GE.US,D,19620706,000000,0.509,0.509,0.49372,0.5013,1941813,0
GE.US,D,19620709,000000,0.5013,0.509,0.49372,0.509,2165866,0
GE.US,D,19620710,000000,0.509,0.5245,0.5013,0.509,3659568,0
GE.US,D,19620711,000000,0.509,0.509,0.5013,0.509,1804888,0
GE.US,D,19620712,000000,0.5164,0.5245,0.5164,0.5164,3049638,0
GE.US,D,19620713,000000,0.5164,0.5164,0.5013,0.5164,2414816,0
GE.US,D,19620716,000000,0.509,0.509,0.509,0.509,1232302,0
GE.US,D,19620717,000000,0.509,0.509,0.5013,0.5013,1630624,0
GE.US,D,19620718,000000,0.49372,0.49372,0.48604,0.49372,1941813,0
GE.US,D,19620719,000000,0.49372,0.5013,0.49372,0.5013,1879576,0
GE.US,D,19620720,000000,0.5013,0.509,0.5013,0.5013,1257199,0
GE.US,D,19620723,000000,0.5013,0.509,0.5013,0.509,1207407,0
GE.US,D,19620724,000000,0.509,0.509,0.5013,0.5013,1232302,0
GE.US,D,19620725,000000,0.5013,0.5013,0.48604,0.5013,1145166,0
GE.US,D,19620726,000000,0.5013,0.509,0.5013,0.509,1555942,0
GE.US,D,19620727,000000,0.509,0.5164,0.5013,0.509,1817339,0
GE.US,D,19620730,000000,0.509,0.5164,0.509,0.5164,1319434,0
GE.US,D,19620731,000000,0.5164,0.5322,0.5164,0.5322,3572430,0
GE.US,D,19620801,000000,0.5322,0.5322,0.5245,0.5245,1779992,0
GE.US,D,19620802,000000,0.5245,0.5322,0.5245,0.5322,1468805,0
GE.US,D,19620803,000000,0.5322,0.5322,0.5322,0.5322,1916919,0
GE.US,D,19620806,000000,0.5322,0.5322,0.5245,0.5245,1916919,0
GE.US,D,19620807,000000,0.5245,0.5245,0.5245,0.5245,1991603,0
GE.US,D,19620808,000000,0.5245,0.5245,0.5164,0.5245,1294536,0
GE.US,D,19620809,000000,0.5245,0.5322,0.5245,0.5245,1481251,0
GE.US,D,19620810,000000,0.5245,0.5322,0.5245,0.5322,1929361,0
GE.US,D,19620813,000000,0.5322,0.5322,0.5245,0.5245,1518596,0
GE.US,D,19620814,000000,0.5245,0.5397,0.5245,0.5397,2713559,0
GE.US,D,19620815,000000,0.5397,0.5397,0.5322,0.5397,1879576,0
GE.US,D,19620816,000000,0.5397,0.5397,0.5397,0.5397,1692860,0
GE.US,D,19620817,000000,0.5397,0.5475,0.5397,0.5397,1817339,0
GE.US,D,19620820,000000,0.5397,0.5555,0.5397,0.5397,1929361,0
GE.US,D,19620821,000000,0.5397,0.5475,0.5397,0.5397,1456356,0
GE.US,D,19620822,000000,0.5475,0.5555,0.5475,0.5555,1854679,0
GE.US,D,19620823,000000,0.5555,0.5555,0.5555,0.5555,1804888,0
GE.US,D,19620824,000000,0.5555,0.5555,0.5397,0.5397,2551738,0
GE.US,D,19620827,000000,0.5397,0.5475,0.5322,0.5322,1568385,0
GE.US,D,19620828,000000,0.5397,0.5397,0.5397,0.5397,2041392,0
GE.US,D,19620829,000000,0.5397,0.5397,0.5322,0.5397,1294536,0
GE.US,D,19620830,000000,0.5397,0.5475,0.5397,0.5397,1543487,0
GE.US,D,19620831,000000,0.5397,0.5475,0.5397,0.5475,1020693,0
GE.US,D,19620904,000000,0.5475,0.5475,0.5322,0.5322,1306988,0
GE.US,D,19620905,000000,0.5322,0.5322,0.5164,0.5245,2116076,0
GE.US,D,19620906,000000,0.5245,0.5322,0.5164,0.5245,2327685,0
GE.US,D,19620907,000000,0.5245,0.5322,0.5245,0.5322,2128523,0
GE.US,D,19620910,000000,0.5322,0.5397,0.5245,0.5397,1257199,0
GE.US,D,19620911,000000,0.5397,0.5397,0.5322,0.5322,1655522,0
GE.US,D,19620912,000000,0.5322,0.5397,0.5322,0.5397,759299,0
GE.US,D,19620913,000000,0.5397,0.5475,0.5322,0.5322,2178311,0
GE.US,D,19620914,000000,0.5322,0.5397,0.5322,0.5397,983352,0
GE.US,D,19620917,000000,0.5397,0.5475,0.5397,0.5397,1020693,0
GE.US,D,19620918,000000,0.5397,0.5475,0.5397,0.5397,1854679,0
GE.US,D,19620919,000000,0.5397,0.5397,0.5322,0.5397,1705308,0
GE.US,D,19620920,000000,0.5397,0.5397,0.5322,0.5322,1506149,0
GE.US,D,19620921,000000,0.5322,0.5322,0.5245,0.5245,2265444,0
GE.US,D,19620924,000000,0.5245,0.5245,0.509,0.5164,2589080,0
GE.US,D,19620925,000000,0.5164,0.5164,0.5013,0.5164,2228103,0
GE.US,D,19620926,000000,0.5164,0.5164,0.5013,0.509,2053838,0
GE.US,D,19620927,000000,0.509,0.509,0.49372,0.49372,1929361,0
GE.US,D,19620928,000000,0.49372,0.509,0.49372,0.509,2178311,0
GE.US,D,19621001,000000,0.509,0.509,0.5013,0.509,1481251,0
GE.US,D,19621002,000000,0.509,0.5164,0.509,0.5164,1082933,0
GE.US,D,19621003,000000,0.5164,0.5245,0.5164,0.5164,1369225,0
GE.US,D,19621004,000000,0.5164,0.5245,0.509,0.5245,2053838,0
GE.US,D,19621005,000000,0.5322,0.5397,0.5322,0.5322,1580837,0
GE.US,D,19621008,000000,0.5397,0.5397,0.5397,0.5397,1605730,0
GE.US,D,19621009,000000,0.5397,0.5397,0.5322,0.5397,1493698,0
GE.US,D,19621010,000000,0.5397,0.5397,0.5322,0.5322,1319434,0
GE.US,D,19621011,000000,0.5322,0.5322,0.5245,0.5245,1680416,0
GE.US,D,19621012,000000,0.5245,0.5245,0.5245,0.5245,833981,0
GE.US,D,19621015,000000,0.5245,0.5397,0.5245,0.5397,1406567,0
GE.US,D,19621016,000000,0.5397,0.5397,0.5397,0.5397,1580837,0
GE.US,D,19621017,000000,0.5322,0.5322,0.5322,0.5322,1916919,0
GE.US,D,19621018,000000,0.5322,0.5322,0.5322,0.5322,1555942,0
GE.US,D,19621019,000000,0.5322,0.5322,0.5164,0.5245,3447961,0
GE.US,D,19621022,000000,0.5245,0.5245,0.5164,0.5164,2887823,0
