<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPM.US,D,19701105,000000,2.7906,2.8133,2.7675,2.8133,110886,0
JPM.US,D,19701106,000000,2.8058,2.8058,2.7825,2.7825,19675,0
JPM.US,D,19701109,000000,2.7825,2.8133,2.7602,2.8058,37558,0
JPM.US,D,19701110,000000,2.8058,2.8363,2.7982,2.8363,58128,0
JPM.US,D,19701111,000000,2.8363,2.8667,2.8285,2.8285,76014,0
JPM.US,D,19701112,000000,2.8285,2.8515,2.8058,2.8133,87640,0
JPM.US,D,19701113,000000,2.8133,2.8133,2.7524,2.7524,50077,0
JPM.US,D,19701117,000000,2.7446,2.8058,2.7446,2.8058,135036,0
JPM.US,D,19701118,000000,2.8058,2.8133,2.7602,2.7602,71544,0
JPM.US,D,19701119,000000,2.7602,2.7825,2.7065,2.7065,84959,0
JPM.US,D,19701120,000000,2.7065,2.7296,2.6991,2.7296,8945,0
JPM.US,D,19701123,000000,2.7296,2.7524,2.6991,2.6991,45608,0
JPM.US,D,19701124,000000,2.6991,2.7296,2.6838,2.6838,56342,0
JPM.US,D,19701125,000000,2.7065,2.7825,2.7065,2.7602,89427,0
JPM.US,D,19701127,000000,2.7675,2.7982,2.7675,2.7982,13411,0
JPM.US,D,19701130,000000,2.7982,2.8133,2.7825,2.8058,89427,0
JPM.US,D,19701201,000000,2.8438,2.8895,2.8438,2.8438,87640,0
JPM.US,D,19701202,000000,2.8438,2.8667,2.8285,2.8285,33088,0
JPM.US,D,19701203,000000,2.8438,2.9349,2.8438,2.8972,353239,0
JPM.US,D,19701204,000000,2.8972,2.9432,2.8742,2.9432,212836,0
JPM.US,D,19701207,000000,2.9432,2.9661,2.9349,2.9349,38453,0
JPM.US,D,19701208,000000,2.9349,2.9661,2.9275,2.9275,119831,0
JPM.US,D,19701209,000000,2.8972,2.8972,2.8592,2.8742,15203,0
JPM.US,D,19701210,000000,2.8742,2.8895,2.8438,2.8515,27724,0
JPM.US,D,19701211,000000,2.8895,2.9349,2.8895,2.9275,84064,0
JPM.US,D,19701214,000000,2.9275,2.9432,2.9045,2.9045,28615,0
JPM.US,D,19701215,000000,2.9045,2.9126,2.8742,2.8972,87640,0
JPM.US,D,19701216,000000,2.8972,2.9275,2.8742,2.9275,76905,0
JPM.US,D,19701217,000000,2.9349,3.0117,2.9349,2.9964,232512,0
JPM.US,D,19701218,000000,2.9964,2.9964,2.9812,2.9887,17879,0
JPM.US,D,19701221,000000,2.9887,3.0117,2.9887,3.0117,21461,0
JPM.US,D,19701222,000000,3.0117,3.0117,2.9887,3.0117,87640,0
JPM.US,D,19701223,000000,3.0117,3.0647,2.9887,3.0497,147552,0
JPM.US,D,19701224,000000,3.0497,3.1032,3.0423,3.0954,28615,0
JPM.US,D,19701228,000000,3.0954,3.1259,3.0802,3.1185,23254,0
JPM.US,D,19701229,000000,3.1185,3.1185,3.1032,3.1185,19675,0
JPM.US,D,19701230,000000,3.1185,3.1488,3.1032,3.1185,65278,0
JPM.US,D,19701231,000000,3.1185,3.1334,3.0954,3.1185,77803,0
JPM.US,D,19710104,000000,3.1185,3.1334,3.0878,3.0878,66180,0
JPM.US,D,19710105,000000,3.0878,3.1185,3.0802,3.0954,54553,0
JPM.US,D,19710106,000000,3.1032,3.1488,3.1032,3.1259,72435,0
JPM.US,D,19710107,000000,3.1259,3.2019,3.1032,3.2019,135929,0
JPM.US,D,19710108,000000,3.2019,3.2019,3.1639,3.1792,120725,0
JPM.US,D,19710111,000000,3.1792,3.1869,3.1639,3.1639,112678,0
JPM.US,D,19710112,000000,3.1718,3.21,3.1718,3.21,172601,0
JPM.US,D,19710113,000000,3.21,3.2481,3.2019,3.2481,160076,0
